,Test Accuracy,Round,Method
0,0.576166666666666,3,fedavg
1,0.9443333333333336,6,fedavg
2,0.5019999999999998,9,fedavg
3,3.161666666666668,12,fedavg
4,7.247,15,fedavg
5,6.512333333333332,18,fedavg
6,6.0280000000000005,21,fedavg
7,4.806,24,fedavg
8,10.619,27,fedavg
9,14.2295,30,fedavg
10,19.140166666666666,33,fedavg
11,18.052166666666665,36,fedavg
12,28.80766666666667,39,fedavg
13,13.096666666666668,42,fedavg
14,7.364833333333337,45,fedavg
15,19.1305,48,fedavg
16,15.4375,51,fedavg
17,12.14266666666667,54,fedavg
18,19.8955,57,fedavg
19,6.942,60,fedavg
20,10.374500000000001,63,fedavg
21,12.7375,66,fedavg
22,9.461833333333331,69,fedavg
23,12.907166666666669,72,fedavg
24,19.989833333333337,75,fedavg
25,11.828000000000003,78,fedavg
26,7.360499999999998,81,fedavg
27,6.667166666666677,84,fedavg
28,21.8485,87,fedavg
29,20.932666666666663,90,fedavg
30,19.774333333333335,93,fedavg
31,27.662166666666657,96,fedavg
32,9.691000000000004,99,fedavg
33,15.488666666666667,102,fedavg
34,15.814333333333337,105,fedavg
35,22.402,108,fedavg
36,24.59883333333334,111,fedavg
37,27.135166666666663,114,fedavg
38,20.927,117,fedavg
39,25.28233333333334,120,fedavg
40,27.47116666666666,123,fedavg
41,24.995166666666652,126,fedavg
42,31.67483333333334,129,fedavg
43,34.094,132,fedavg
44,21.290333333333336,135,fedavg
45,32.19166666666666,138,fedavg
46,27.625999999999998,141,fedavg
47,33.39883333333334,144,fedavg
48,38.17516666666665,147,fedavg
49,43.77466666666666,150,fedavg
50,0.9578333333333332,3,hrank
51,4.82,6,hrank
52,4.291666666666665,9,hrank
53,5.294666666666668,12,hrank
54,4.019,15,hrank
55,5.163666666666668,18,hrank
56,2.5344999999999995,21,hrank
57,8.269333333333332,24,hrank
58,14.2345,27,hrank
59,12.436833333333334,30,hrank
60,16.450833333333332,33,hrank
61,21.1525,36,hrank
62,22.334166666666665,39,hrank
63,5.043500000000002,42,hrank
64,9.277999999999999,45,hrank
65,7.656166666666671,48,hrank
66,6.2578333333333305,51,hrank
67,9.887500000000003,54,hrank
68,10.636500000000002,57,hrank
69,9.13666666666667,60,hrank
70,5.32566666666667,63,hrank
71,13.893999999999998,66,hrank
72,6.125833333333333,69,hrank
73,14.072333333333333,72,hrank
74,15.098166666666664,75,hrank
75,9.309666666666672,78,hrank
76,5.439,81,hrank
77,8.288166666666665,84,hrank
78,14.069666666666663,87,hrank
79,26.908166666666663,90,hrank
80,18.491333333333337,93,hrank
81,17.369166666666665,96,hrank
82,16.21816666666666,99,hrank
83,22.484,102,hrank
84,16.512500000000003,105,hrank
85,26.04233333333334,108,hrank
86,18.125,111,hrank
87,17.687833333333337,114,hrank
88,28.957333333333338,117,hrank
89,28.7705,120,hrank
90,26.585333333333352,123,hrank
91,25.936166666666665,126,hrank
92,33.43633333333334,129,hrank
93,31.980666666666657,132,hrank
94,25.33416666666666,135,hrank
95,30.58883333333334,138,hrank
96,25.7985,141,hrank
97,38.65383333333334,144,hrank
98,40.064999999999998,147,hrank
99,43.925166666666655,150,hrank
100,15.587833333333332,3,calim
101,9.933833333333334,6,calim
102,16.46216666666667,9,calim
103,14.870666666666668,12,calim
104,14.766166666666669,15,calim
105,19.001,18,calim
106,18.394166666666667,21,calim
107,15.7965,24,calim
108,23.05483333333333,27,calim
109,15.7705,30,calim
110,26.686666666666667,33,calim
111,26.18466666666667,36,calim
112,37.72516666666667,39,calim
113,22.45066666666667,42,calim
114,15.223166666666671,45,calim
115,18.21483333333333,48,calim
116,23.78116666666667,51,calim
117,17.33466666666667,54,calim
118,23.47383333333333,57,calim
119,22.347499999999997,60,calim
120,24.575333333333333,63,calim
121,26.730333333333327,66,calim
122,26.96216666666666,69,calim
123,25.895833333333336,72,calim
124,22.843833333333336,75,calim
125,18.684,78,calim
126,28.473999999999997,81,calim
127,30.875833333333333,84,calim
128,22.962000000000003,87,calim
129,37.2235,90,calim
130,26.477166666666665,93,calim
131,22.079333333333352,96,calim
132,29.853,99,calim
133,28.227166666666662,102,calim
134,28.777833333333326,105,calim
135,27.070833333333333,108,calim
136,39.65133333333334,111,calim
137,31.677999999999997,114,calim
138,36.38416666666666,117,calim
139,36.59716666666665,120,calim
140,38.94433333333335,123,calim
141,41.0085,126,calim
142,37.28166666666665,129,calim
143,34.958166666666656,132,calim
144,41.52366666666666,135,calim
145,36.86883333333334,138,calim
146,35.0525,141,calim
147,38.42833333333334,144,calim
148,45.4135,147,calim
149,44.052166666666665,150,calim
