,Test Accuracy,Epoch,Method
0,22.912,1,HRank
1,34.543,2,HRank
2,40.156,3,HRank
3,42.373,4,HRank
4,43.899,5,HRank
5,28.565,1,Calim
6,42.005,2,Calim
7,47.35,3,Calim
8,50.1,4,Calim
9,52.213,5,Calim
